Na I;Na II;H I;O I;O II;N II;Si II;Cu I;Ca II;C II;Type
66000;4000;8000;6000;5000;18000;33000;0;0;0;1
59669.95085;5046.650401;3725.900231;7783.778286;3637.139855;9115.256328;12352.09382;0;0;0;1
167411.3326;6077.750989;651.8390703;425.3150621;686.0468602;16867.48624;41933.93162;0;0;0;1
70164.71957;7874.544953;12421.15333;16345.48076;771.7591207;24467.06521;46618.06057;0;0;0;1
55243.69539;4019.277879;3383.737485;18429.20144;20113.91762;43960.73366;25120.24814;0;0;0;1
112099.8853;5205.893786;17336.53622;803.4777421;7278.681921;13659.95876;19730.86105;0;0;0;1
11230.54383;3063.93794;6920.24101;3280.99353;1027.177521;29082.62735;24416.47691;0;0;0;1
4328.267299;923.2267342;3647.122501;11025.44147;7841.095434;25506.49956;7919.900713;0;0;0;1
23942.04107;2221.895881;2189.746521;7337.222437;9402.887318;26292.24615;31493.99451;0;0;0;1
38399.87006;10357.96322;28322.41837;1486.923357;6649.804557;27225.07162;9512.61699;0;0;0;1
540.2777991;2563.113438;5564.738571;5066.809133;2585.45225;43527.67841;18991.70378;0;0;0;1
206214.5591;5518.906319;10971.06488;2387.965801;1540.99022;11221.76194;81317.24442;0;0;0;1
9235.097703;4108.270476;13567.88867;8418.942538;4586.651038;616.4339498;87645.30003;0;0;0;1
125665.0126;5427.956766;1337.876723;1200.669807;7049.748114;10888.74441;6539.894218;0;0;0;1
146781.398;4357.832038;1302.141924;12084.05917;6378.488132;54898.85122;53489.75819;0;0;0;1
47606.94572;5450.427506;4540.011559;5011.308532;12951.87476;19390.28841;60610.15933;0;0;0;1
58123.57405;2690.543138;11208.38385;2107.778922;531.1118782;45024.11492;49687.49008;0;0;0;1
7568.030291;624.5676549;6358.957959;11181.4736;343.1115955;16587.86346;66042.37264;0;0;0;1
107757.8836;522.2908829;13545.23378;6043.860988;1927.096483;7855.119362;11050.68596;0;0;0;1
42556.85619;9537.7314;13138.42369;3959.858807;15484.16658;4564.317049;55636.98524;0;0;0;1
74202.51408;813.7903193;1831.368301;9664.28206;1102.823401;41621.45091;21300.57886;0;0;0;1
81809.73277;2352.547202;1869.225541;2862.005996;6864.149315;30427.69251;18721.47807;0;0;0;1
47251.50708;4837.514841;14276.83785;9467.727254;1708.304261;15517.68495;46256.90103;0;0;0;1
77045.7507;903.1283912;12558.38194;3655.429958;9710.0206;26577.56699;17790.92416;0;0;0;1
10887.71813;1214.754458;7736.60565;10118.72116;5616.593844;44822.87323;70750.29388;0;0;0;1
83170.50811;1501.327265;3789.819188;15056.30164;8658.134017;2730.766793;25400.76999;0;0;0;1
149571.38;9667.587892;15877.46014;855.7141402;4275.905515;24164.03169;82323.73069;0;0;0;1
9088.117833;6790.726307;11360.14265;5849.84679;8520.10129;920.8528811;33987.18146;0;0;0;1
3316.027376;3829.131938;1976.734019;4531.648523;7594.71459;22486.46034;49408.92571;0;0;0;1
82950.70165;6303.892064;17703.61507;14568.76321;7127.71456;10138.01817;35379.46066;0;0;0;1
29184.94681;3538.369153;1431.093142;18500.82852;10543.02925;26119.59548;63180.18537;0;0;0;1
16539.15567;490.6057064;10899.7161;4647.680266;3473.042989;36128.90358;22595.92896;0;0;0;1
16633.07617;3116.984885;9302.625728;5102.078487;11067.78873;11029.46591;70922.18799;0;0;0;1
96443.86177;3677.383583;20932.72116;13987.14657;8853.805836;11737.38574;15750.80839;0;0;0;1
47666.09582;2749.324282;17764.19867;14871.65846;11724.6041;27407.0978;49606.54298;0;0;0;1
82703.02247;4073.746627;2989.612437;9060.857482;345.203184;10687.40176;53163.47397;0;0;0;1
64181.37885;1735.282237;1863.779425;1497.958951;5720.560181;16413.43583;20845.77635;0;0;0;1
48287.54892;10382.12522;1714.127564;15126.8019;5048.081296;17892.2319;738.3995774;0;0;0;1
207696.6215;4873.598308;10343.14241;9397.9237;7992.448717;29.51722623;32402.41668;0;0;0;1
131773.3057;2013.234023;21890.58767;1652.608388;13124.53026;9103.703321;50753.28849;0;0;0;1
63725.25303;7892.663023;16743.42377;3799.19107;10348.13545;13898.92699;33615.96246;0;0;0;1
106144.3672;6649.630341;5293.534655;10858.58241;6273.439313;15098.73962;18241.38779;0;0;0;1
47508.79876;693.8393582;12047.28807;9847.53963;6181.152306;23043.33769;31000.58946;0;0;0;1
78153.20818;2673.824024;7198.714229;1525.725199;835.8049198;21582.99773;18304.89509;0;0;0;1
60842.43666;1555.366968;1886.264614;4172.665448;3120.020913;24064.32728;123553.072;0;0;0;1
75024.30067;171.0356717;9567.538722;3392.424738;1387.200694;37212.17195;8207.952813;0;0;0;1
15752.94919;2690.027814;10736.98499;7800.149869;13985.88783;8989.063873;43361.07448;0;0;0;1
76902.06583;7487.827797;10314.81524;12952.74516;9991.364622;29052.88759;22653.94359;0;0;0;1
44446.96119;9546.249014;4961.936461;19868.43551;1300.415473;6382.793338;49250.19731;0;0;0;1
100478.6496;12557.68569;10653.69473;4074.082868;12384.69587;31222.67254;25894.66473;0;0;0;1
9249.391936;207.9500696;1990.96585;10341.39527;8282.838836;63248.95327;20402.79308;0;0;0;1
